University	Program	Term	Nationality	Scholarship	Enrolment
UofA	PhD	s2/2016	SriLanka	No	3
UofA	MCS	s1/2016	Iran	No	3
Torrens	MCS	s2/2017	Australia	No	1
Torrens	PhD	s1/2018	Iran	Yes	1
UniSA	BCS	s2/2016	China	No	1
UofA	BSE	s2/2017	Australia	No	1
UofA	BCS	s1/2017	Australia	Yes	3
Flinders	BSE	s2/2017	Australia	No	2
Flinders	PhD	s2/2017	Iran	No	3
Torrens	MCS	s1/2017	Australia	Yes	3
UniSA	MCI	s1/2018	India	No	2
UniSA	PhD	s2/2017	Iran	No	3
Torrens	MCS	s1/2018	Korea	Yes	1
Flinders	PhD	s1/2016	India	Yes	1
Flinders	BSE	s1/2017	SriLanka	Yes	3
UofA	MCI	s1/2016	SriLanka	No	3
UniSA	MCS	s2/2017	Korea	Yes	3
Torrens	BCS	s2/2017	India	No	2
UofA	PhD	s2/2016	China	No	3
